target,class_name,num_examples,recall,num_correct
433,Eastern Towhee,54,0.9629629629629629,52
265,"American Kestrel (Female, immature)",55,0.9636363636363636,53
406,Northern Waterthrush,56,0.9642857142857143,54
172,Monk Parakeet,28,0.9642857142857143,27
521,Scarlet Tanager (Female/Nonbreeding Male),28,0.9642857142857143,27
168,White-winged Dove,57,0.9649122807017544,55
86,Bonaparte's Gull,58,0.9655172413793104,56
139,Merlin,58,0.9655172413793104,56
324,Red-winged Blackbird (Male),59,0.9661016949152542,57
340,House Sparrow (Male),59,0.9661016949152542,57
9,Mallard (Breeding male),60,0.9666666666666667,58
39,"Northern Gannet (Adult, Subadult)",60,0.9666666666666667,58
42,Little Blue Heron (Adult),60,0.9666666666666667,58
55,American Kestrel (Adult male),60,0.9666666666666667,58
120,Great Blue Heron,60,0.9666666666666667,58
123,Tricolored Heron,60,0.9666666666666667,58
144,Killdeer,60,0.9666666666666667,58
193,Red-bellied Woodpecker,60,0.9666666666666667,58
302,Magnolia Warbler (Breeding male),60,0.9666666666666667,58
313,Chipping Sparrow (Breeding),60,0.9666666666666667,58
367,Red-breasted Nuthatch,60,0.9666666666666667,58
412,Nashville Warbler,60,0.9666666666666667,58
419,Yellow Warbler,60,0.9666666666666667,58
422,Yellow-throated Warbler,60,0.9666666666666667,58
429,Wilson's Warbler,60,0.9666666666666667,58
442,Vesper Sparrow,60,0.9666666666666667,58
490,Warbling Vireo,60,0.9666666666666667,58
494,Blue Jay,60,0.9666666666666667,58
545,American Goldfinch (Female/Nonbreeding Male),60,0.9666666666666667,58
360,Bridled Titmouse,31,0.967741935483871,30
449,Dark-eyed Junco (Pink-sided),31,0.967741935483871,30
95,Brant,32,0.96875,31
107,Northern Bobwhite,32,0.96875,31
513,Black-throated Blue Warbler (Female/Immature male),32,0.96875,31
331,Pine Grosbeak (Adult Male),33,0.9696969696969697,32
127,White-faced Ibis,34,0.9705882352941176,33
463,Brown-capped Rosy-Finch,34,0.9705882352941176,33
59,Black-bellied Plover (Breeding),35,0.9714285714285714,34
296,Purple Martin (Adult male),35,0.9714285714285714,34
548,"Vermilion Flycatcher (Female, immature)",36,0.9722222222222222,35
21,Surf Scoter (Male),37,0.972972972972973,36
252,Little Blue Heron (Immature),37,0.972972972972973,36
480,Scissor-tailed Flycatcher,37,0.972972972972973,36
370,Brown-headed Nuthatch,38,0.9736842105263158,37
499,Black-billed Magpie,38,0.9736842105263158,37
185,Common Nighthawk,39,0.9743589743589743,38
255,Yellow-crowned Night-Heron (Immature),39,0.9743589743589743,38
188,White-throated Swift,40,0.975,39
263,Rough-legged Hawk (Light morph),40,0.975,39
